GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
low-density lipoprotein receptor particle metabolic process	NA	NA	NA	NA	NA	NA
luteinizing hormone secretion	NA	NA	NA	NA	NA	NA
lymphocyte chemotaxis	NA	NA	NA	NA	NA	NA
lymphocyte costimulation	NA	NA	NA	NA	NA	NA
lymphocyte migration	NA	NA	NA	NA	NA	NA
lysosomal lumen acidification	NA	NA	NA	NA	NA	NA
lysosome organization	NA	NA	NA	NA	NA	NA
lytic vacuole organization	NA	NA	NA	NA	NA	NA
macrophage activation	NA	NA	NA	NA	NA	NA
macrophage cytokine production	NA	NA	NA	NA	NA	NA
maintenance of protein location in cell	NA	NA	NA	NA	NA	NA
male gonad development	NA	NA	NA	NA	NA	NA
male sex differentiation	NA	NA	NA	NA	NA	NA
mammary gland development	NA	NA	NA	NA	NA	NA
mammary gland epithelium development	NA	NA	NA	NA	NA	NA
mating behavior	NA	NA	NA	NA	NA	NA
maturation of LSU-rRNA	NA	NA	NA	NA	NA	NA
megakaryocyte development	NA	NA	NA	NA	NA	NA
megakaryocyte differentiation	NA	NA	NA	NA	NA	NA
meiosis I	NA	NA	NA	NA	NA	NA
meiosis I cell cycle process	NA	NA	NA	NA	NA	NA
meiosis II	NA	NA	NA	NA	NA	NA
meiosis II cell cycle process	NA	NA	NA	NA	NA	NA
meiotic cell cycle phase transition	NA	NA	NA	NA	NA	NA
meiotic chromosome condensation	NA	NA	NA	NA	NA	NA
meiotic chromosome segregation	NA	NA	NA	NA	NA	NA
meiotic nuclear division	NA	NA	NA	NA	NA	NA
meiotic sister chromatid cohesion	NA	NA	NA	NA	NA	NA
meiotic sister chromatid segregation	NA	NA	NA	NA	NA	NA
meiotic spindle assembly	NA	NA	NA	NA	NA	NA
meiotic spindle organization	NA	NA	NA	NA	NA	NA
membrane depolarization	NA	NA	NA	NA	NA	NA
membrane depolarization during action potential	NA	NA	NA	NA	NA	NA
membrane depolarization during cardiac muscle cell action potential	NA	NA	NA	NA	NA	NA
membrane protein ectodomain proteolysis	NA	NA	NA	NA	NA	NA
mesenchymal cell proliferation	NA	NA	NA	NA	NA	NA
