GeneID	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
10242	-0.0219460874076537	0	-0.15652708041045085	0	0	0
10243	0	-0.6706721031023551	0	-0.3633683854358351	0	0
10244	-0.006733673481071852	0	-0.02570900794204256	0	-3.2511820488969025	-2.2097013772160072
10245	0	-0.11983724654970727	-1.1957563500518145	0	0	0
10246	-0.2384521155805768	-1.0590739502314035	-0.01976029221412974	-0.03326720412541023	-0.026121451844661525	0
10247	0	0	-0.8560041941501275	0	0	0
10248	-0.21524418777211277	0	-4.521229603720817	0	-0.28941625514320246	0
10249	0	0	0	-0.16031778298993887	-8.163999101071719	-0.9039590202133594
1025	0	-0.282055275440175	-0.016431738470033597	-0.12642522445053345	0	0
10250	-0.04622274846711927	-4.01328600211311	0	0	-1.9662996301318536	0
10251	-0.14333595662290222	-0.23849873596795995	-0.020205021477528007	-0.20180040592539727	-2.935418272769277	-0.669888863519138
10252	0	0	0	0	-0.037904872457915184	0
10253	-0.008947436178554202	-0.808162688072837	-2.298113731186399	0	0	-0.07092023194433816
10254	0	-1.5826865351861594	0	-0.15543064223412112	-0.957032770961192	-0.7875080319172327
10255	0	0	-0.028075180918076426	-0.09643720755976493	-0.024772325371177573	0
10256	0	-0.204035488160488	0	0	0	-2.945187798168068
10257	0	-0.14899066046706444	-0.2059735789825019	-0.097669203311483	-0.2999161015717866	-1.3520692145350484
1026	0	-2.1592307236470383	0	-0.15654276064194603	-0.24030902274719132	-0.1493752291638224
10260	-0.13719688078289538	-0.0671318073350986	-0.02587951920265684	0	0	-0.7161137285840202
10261	-0.1684628736532493	-0.07681695242557651	0	0	0	0
10262	-0.2929323619727376	0	-0.001367457059339501	-0.010384055893556392	-3.2524512690852814	-2.41626213824085
