Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000014914	34	25	35	37	40	46	22	57
ENSG00000014919	1379	1289	1228	1198	1193	1297	1256	1443
ENSG00000015133	511	172	439	249	744	861	358	411
ENSG00000015153	270	232	208	272	305	285	266	301
ENSG00000015171	1329	1145	1152	1242	1366	1112	1142	1065
ENSG00000015285	982	887	910	1055	777	934	721	927
ENSG00000015475	941	2206	1031	2788	704	940	2833	2423
ENSG00000015479	3483	2941	3484	3936	2744	3226	3162	3921
ENSG00000015532	582	454	534	583	507	614	564	652
ENSG00000015568	92	101	68	77	86	75	89	79
ENSG00000015676	1580	1298	1425	1222	1620	1530	1502	1552
ENSG00000016391	69	27	50	47	52	23	27	10
ENSG00000016864	541	398	534	410	488	676	403	467
ENSG00000017260	3598	4474	3510	4501	2933	2837	3396	3754
ENSG00000135597	3091	2455	2809	2668	2921	2853	2812	2599
ENSG00000163820	1032	1348	1081	1755	1136	1309	1482	1580
ENSG00000018280	7581	5983	8966	10766	8371	6320	7529	6126
ENSG00000018408	701	530	557	532	757	653	742	682
ENSG00000018510	4752	4047	4380	3970	5477	4568	5398	4443
ENSG00000018610	490	451	417	435	495	486	499	560
ENSG00000018699	400	533	422	486	314	369	481	569
ENSG00000018869	70	72	66	65	59	82	55	75
ENSG00000019144	224	449	208	470	138	194	210	295
ENSG00000019169	2046	984	1936	1182	2666	1040	2163	925
ENSG00000019485	117	105	65	85	90	93	83	78
ENSG00000019582	58286	43009	84175	96604	49647	63121	52289	70655
ENSG00000115904	22	5	29	11	18	20	8	8
ENSG00000019995	638	598	627	697	708	720	717	735
ENSG00000020129	504	603	491	565	406	391	580	551
ENSG00000020181	40	28	75	58	29	53	24	36
ENSG00000020256	284	225	212	239	219	240	209	212
ENSG00000020426	162	114	150	171	174	167	140	149
ENSG00000020577	446	265	565	503	558	511	489	453
ENSG00000020633	593	445	366	393	484	572	446	502
ENSG00000020922	672	593	692	671	554	622	523	666
ENSG00000021300	10	2	7	6	9	5	2	4
ENSG00000021355	2533	1645	2097	1630	2647	2170	2086	1741
ENSG00000021574	674	694	587	743	563	661	658	836
ENSG00000021645	1	2	2	2	2	5	1	20
ENSG00000021762	226	134	194	113	198	511	100	307
ENSG00000021776	1720	1579	1454	1687	1610	1628	1546	1652
ENSG00000231852	11	9	3	2	25	10	8	7
ENSG00000022277	2941	2615	2378	2624	2568	2734	2893	3293
ENSG00000022556	200	107	311	170	674	135	590	148
ENSG00000022567	694	497	563	482	686	587	469	467
ENSG00000022840	2673	2552	2351	2677	2689	2512	2975	3018
ENSG00000022976	242	226	218	237	234	269	219	239
ENSG00000023041	999	823	850	833	932	909	956	978
ENSG00000023171	178	103	154	132	75	161	108	107
ENSG00000023228	2372	2257	2110	2205	2475	2359	2746	2764
ENSG00000023287	838	1129	880	1265	1002	978	1169	1255
ENSG00000023318	2025	2227	1709	2587	1716	1791	2025	2245
ENSG00000023330	12361	27184	11211	23869	8475	11425	23921	29261
ENSG00000023445	375	6049	266	5274	153	758	3677	4696
ENSG00000023516	829	846	810	956	1314	861	1187	812
ENSG00000023572	982	743	732	659	696	773	769	797
ENSG00000023608	94	106	60	134	52	93	106	103
ENSG00000023697	1309	1097	1197	1081	1190	1362	1419	1628
ENSG00000151304	2442	2215	2049	2160	2146	1966	2417	2348
ENSG00000023839	16	16	8	20	11	13	8	14
ENSG00000023892	441	286	534	252	363	442	281	331
ENSG00000023902	3865	3744	3142	3816	2921	3738	4200	4960
ENSG00000023909	515	625	405	664	492	364	662	671
ENSG00000024048	1713	2032	1505	2038	1688	1801	1823	2327
ENSG00000024526	116	28	179	67	39	17	19	2
ENSG00000024862	511	290	404	347	474	559	353	418
ENSG00000025039	3416	2339	2859	2156	3722	3504	3347	3144
ENSG00000025156	125	74	128	114	133	78	103	44
ENSG00000025293	1177	1416	1120	1355	1125	1251	1234	1366
ENSG00000025423	14	7	12	8	15	21	5	11
ENSG00000025434	10849	20786	9498	19392	8714	9652	19286	21035
ENSG00000284194	3134	4860	3700	5907	2129	4087	4918	4984
ENSG00000025770	941	472	925	589	693	867	528	628
ENSG00000025772	605	747	600	883	413	473	701	734
ENSG00000025796	2175	2216	1928	2420	1783	1747	1921	2005
ENSG00000025800	1671	1769	1527	1858	1615	1705	1819	2169
ENSG00000026025	101335	143852	108064	136265	69364	79522	131523	89736
ENSG00000169710	596	494	670	546	718	1177	640	1077
ENSG00000026297	4874	2429	4371	2505	2208	4721	1755	2125
ENSG00000026508	18439	42692	13869	41695	9474	15570	21203	33977
ENSG00000026559	3	1	1	3	1	1	1	2
ENSG00000026652	1085	1046	625	560	656	903	507	853
ENSG00000026751	10908	25330	7189	24568	12454	14012	27485	31898
ENSG00000026950	830	773	825	862	1306	1496	1055	1634
ENSG00000027001	797	597	745	528	826	866	872	973
ENSG00000027075	668	441	637	500	870	838	683	639
ENSG00000027697	4666	2746	5463	3767	4833	4864	3053	2855
ENSG00000027847	462	425	373	386	374	493	373	517
ENSG00000028116	461	439	465	608	404	454	455	560
