GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
26054	0	0	0	0	0	0	0	0	0	0	0	0
26064	0	0	0	0	0	0	0	0	0	0	0	0
26128	0	0	0	0	0	0	0	0	0	0	0	0
26136	0	0	0	0	0	0	0	0	0	0	0	0
26227	0	0	0	0	0	0	0	0	0	0	0	0
2624	0	0	0	0	0	0	0	0	0	0	0	0
2625	0	-2.3674297395367203	0	0	0	0	0	0	0	0	0	0
26292	0	0	0	0	0	0	0	0	0	0	0	0
26511	0	0	0	0	0	0	0	0	0	0	0	0
26520	0	0	0	0	0	0	0	0	0	0	-0.4420749190774086	0
2673	0	-0.94981531052825	0	0	0	0	0	0	0	0	0	0
2690	0	-0.018114817218419788	0	0	0	0	0	0	0	0	0	0
26993	0	0	0	0	0	0	0	0	0	0	0	0
27032	0	0	0	0	0	0	0	0	0	0	-0.27962204596778606	0
27095	0	0	0	0	0	0	0	0	0	0	0	0
27109	0	0	0	0	0	0	0	0	0	0	0	0
27242	0	0	0	0	0	0	0	0	0	0	0	0
27244	0	0	0	0	0	0	0	0	0	0	-0.18948303830127225	0
27336	0	0	0	0	0	0	0	0	0	0	0	0
27346	0	0	0	0	0	0	0	0	0	0	0	0
2736	0	0	0	0	0	0	0	0	0	0	0	0
2745	-0.14332212539608724	0	0	0	0	0	0	0	0	0	0	0
2767	0	-0.3048208954617775	0	0	0	0	0	0	0	0	0	0
