,pert_iname,clinical_phase,moa,target,disease_area,indication
1819,dexamethasone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
1820,dexamethasone-acetate,Launched,glucocorticoid receptor agonist,,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
1821,dexchlorpheniramine,Launched,histamine receptor antagonist,,allergy|cardiology,allergic conjunctivitis|allergic rhinitis|urticaria|angioedema
1823,dexlansoprazole,Launched,ATPase inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)
1825,dexmedetomidine,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,neurology/psychiatry,sedative
1827,dexpanthenol,Launched,,,gastroenterology,paralytic ileus
1828,dexrazoxane,Launched,chelating agent|topoisomerase inhibitor,TOP2A|TOP2B,cardiology,cardiomyopathy
1829,dextran,Launched,,,hematology|critical care,thrombosis|hypovolemia
1830,dextromethorphan,Launched,glutamate receptor antagonist|sigma receptor agonist,CHRNA2|CHRNA3|CHRNA4|CHRNA7|CHRNB2|CHRNB4|CYBA|CYBB|GRIN3A|NCF1|NCF2|NCF4|OPRD1|OPRK1|OPRM1|PGRMC1|RAC1|RAC2|SIGMAR1|SLC6A2|SLC6A4,pulmonary,cough suppressant
1832,dextrose,Launched,,,endocrinology,hypoglycemia
1838,diacerein,Launched,interleukin inhibitor,IL1B,rheumatology,osteoarthritis
1843,diatrizoic-acid,Launched,,,radiology,contrast agent
1844,diaveridine,Launched,dihydrofolate reductase inhibitor,,infectious disease,coccidiosis
1845,diazoxide,Launched,potassium channel activator,ATP1A1|CA1|CA2|KCNJ11|KCNJ8|KCNMA1|SLC12A3,endocrinology,hypoglycemia
1846,dibekacin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
1852,dichlorophen,Launched,anticestodal agent,,infectious disease,hookworm|tapeworm
1853,dichlorvos,Launched,acetylcholinesterase inhibitor,,,
1854,diclazuril,Launched,antiprotozoal agent,,infectious disease,equine protozoal myeloencephalitis (EPM)
1855,diclofenac,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
1856,diclofenamide,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA2|CA4|CA7,ophthalmology|neurology/psychiatry,glaucoma|epilepsy
1859,dicloxacillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
1860,dicoumarol,Launched,NADPH inhibitor,CRYZ|NQO1|VKORC1,hematology,deep vein thrombosis (DVT)
1862,dicycloverine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,gastroenterology,irritable bowel syndrome
1863,didanosine,Launched,nucleoside reverse transcriptase inhibitor,PNP,infectious disease,human immunodeficiency virus (HIV-1)
1865,didox,Launched,ribonucleotide reductase inhibitor,RRM1,oncology,breast cancer
1866,dienestrol,Launched,estrogen receptor agonist,ESR1,endocrinology,menopause
1867,dienogest,Launched,progesterone receptor agonist,PGR,endocrinology|obstetrics/gynecology,contraceptive|endometriosis
1868,diethylcarbamazine,Launched,lipoxygenase inhibitor,ALOX5|PTGS1,infectious disease,filariasis
1870,diethyltoluamide,Launched,ionotropic receptor IR40a activator,,dermatology,sunscreen lotion
1871,difenpiramide,Launched,cyclooxygenase inhibitor|prostaglandin inhibitor,,neurology/psychiatry,pain relief
1872,diflorasone-diacetate,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
1873,difloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,skin infections|urinary tract infections
1874,diflunisal,Launched,prostanoid receptor antagonist,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis
1875,difluprednate,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology,endogenous uveitis
1876,diftalone,Launched,cyclooxygenase inhibitor,,endocrinology,thyroiditis
1878,digitoxin,Launched,ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,cardiology,congestive heart failure|cardiac arrythmia
1880,digoxin,Launched,ATPase inhibitor,ATP1A1,cardiology,congestive heart failure|atrial fibrillation (AF)
1883,dihydroartemisinin,Launched,antimalarial agent,,infectious disease,malaria
1884,dihydroergocristine,Launched,adrenergic receptor antagonist|prolactin inhibitor,ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7,neurology/psychiatry,senile dementia|cerebrovascular insufficiency
1885,dihydroergotamine,Launched,serotonin receptor agonist,ADRA2A|DRD2|HTR1B|HTR1D|HTR1E|HTR1F|HTR2B|HTR7,neurology/psychiatry,migraine headache
1888,dihydrotachysterol,Launched,vitamin analog,VDR,orthopedics|endocrinology,rickets|hypocalcemia|osteomalacia
1889,dihydroxyacetone,Launched,,,dermatology,skin protectant
1892,dilazep,Launched,adenosine reuptake inhibitor,SLC29A1,cardiology,coronary heart disease
1894,diloxanide,Launched,protein synthesis inhibitor,,infectious disease,amebiasis
1895,diltiazem,Launched,calcium channel blocker,CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,cardiology,hypertension|angina pectoris
1898,dimemorfan,Launched,sigma receptor agonist,SIGMAR1,pulmonary,cough suppressant
1899,dimenhydrinate,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry|gastroenterology,motion sickness|nausea|vomiting
1900,dimercaprol,Launched,chelating agent,,neurology/psychiatry,metal toxicity
1901,dimercaptosuccinic-acid,Launched,chelating agent,DNMT1,neurology/psychiatry,metal toxicity
1904,dimethicone,Launched,,,dermatology,cosmetic
1906,dimethisoquin,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
1907,dimethyl-fumarate,Launched,nuclear factor erythroid derived|like (NRF2) activator,KEAP1,neurology/psychiatry,multiple sclerosis
1909,dimetindene,Launched,cholinergic receptor antagonist|histamine receptor antagonist,HRH1,allergy,allergic rhinitis
1910,dimetridazole,Launched,bacterial DNA inhibitor,,infectious disease,protozoan infection
1912,dimpylate,Launched,acetylcholinesterase inhibitor,ACHE,infectious disease,flea control
1914,dinitolmide,Launched,,,infectious disease,coccidiosis
1915,dinoprost,Launched,prostacyclin analog,PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R,obstetrics/gynecology,labor induction
1919,diosmetin,Launched,aryl hydrocarbon receptor agonist,CYP1B1,dermatology,cosmetic
1920,diosmin,Launched,aryl hydrocarbon receptor agonist|capillary stabilizing agent,AHR,cardiology|hematology|dermatology,chronic venous insufficiency (CVI)|edema|deep vein thrombosis (DVT)|statis dermatitis|heavy leg syndrome
1922,dipeptamin,Launched,,,,
1924,diphemanil,Launched,acetylcholine receptor antagonist,CHRM3,neurology/psychiatry,spasms
1926,diphenhydramine,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry,headache
1927,diphenidol,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,neurology/psychiatry,vertigo
1930,diphenylpyraline,Launched,dopamine reuptake inhibitor,HRH1|SLC6A3,allergy,allergic rhinitis
1931,dipivefrine,Launched,adrenergic receptor agonist,,ophthalmology,glaucoma|intraocular pressure
1933,DIPT,Launched,dopamine reuptake inhibitor|serotonin reuptake inhibitor,HTR1A|HTR2A|HTR2C,,
1934,dipyridamole,Launched,phosphodiesterase inhibitor,ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1,cardiology,coronary artery disease (CAD)|peripheral artery disease (PAD)|hypertension
1935,dipyrocetyl,Launched,chelating agent,,endocrinology|neurology/psychiatry,fever|pain relief
1937,dirithromycin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis
1940,disopyramide,Launched,sodium channel blocker,CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2|SCN5A,cardiology,ventricular tachycardia (VT)|ventricular arrhythmias
1941,disulfiram,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2|DBH,neurology/psychiatry,abstinence from alcohol
1942,dithranol,Launched,DNA synthesis inhibitor,,dermatology,psoriasis
1959,dobutamine,Launched,adrenergic receptor agonist,ADRB1|ADRB2,cardiology,congestive heart failure
1961,docetaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,breast cancer|non-small cell lung cancer (NSCLC)|prostate cancer|gastric adenocarcinoma|head and neck squamous cell carcinoma (HNSCC)
1962,doconexent,Launched,PPAR receptor agonist,FFAR1|PTGS1|PTGS2,,
1963,doconexent-ethyl-ester,Launched,omega 3 fatty acid stimulant,,endocrinology,hypertriglyceridemia
1964,docosanol,Launched,lipase clearing factor inhibitor,TLR7,dental,cold sore
1965,docusate,Launched,laxative,,gastroenterology,constipation
1969,dolasetron,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting
1971,dolutegravir,Launched,HIV integrase inhibitor,CYP3A4|CYP3A5|CYP3A7|POU2F2|UGT1A1,infectious disease,human immunodeficiency virus (HIV-1)
1973,domperidone,Launched,dopamine receptor antagonist,DRD2|DRD3,infectious disease,fescue toxicosis
1974,donepezil,Launched,acetylcholinesterase inhibitor,ACHE,neurology/psychiatry,Alzheimer's disease
1976,dopamine,Launched,dopamine receptor agonist,DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4,cardiology|neurology/psychiatry,ventricular arrhythmias|depression|headache|tremors
1978,doramectin,Launched,,,infectious disease,gastrointestinal roundworms
1979,doravirine,Launched,non-nucleoside reverse transcriptase inhibitor,,,
1980,doripenem,Launched,bacterial cell wall synthesis inhibitor,DPEP1,infectious disease,intra-abdominal infections|urinary tract infections|pyelonephritis
1982,dorzolamide,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,ophthalmology,intraocular pressure|glaucoma
1983,dosulepin,Launched,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)|tricyclic antidepressant,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|SLC6A2|SLC6A4,neurology/psychiatry,depression
1986,doxapram,Launched,potassium channel blocker,,pulmonary|neurology/psychiatry,respiratory depression|central nervous system depression|acute hypercapnia (AHC)
1987,doxazosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension
1988,doxepin,Launched,histamine receptor antagonist,HRH1|SLC6A2|SLC6A4,neurology/psychiatry,depression|anxiety
1989,doxercalciferol,Launched,vitamin D receptor agonist,VDR,nephrology|endocrinology,chronic kidney disease (CKD)|hyperparathyroidism
1990,doxifluridine,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer
1991,doxofylline,Launched,adenosine receptor antagonist,ADORA1|PDE4A|PDE4B|PDE4C|PDE4D,pulmonary,asthma
1992,doxorubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma
1993,doxycycline,Launched,bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor,MMP8,dental,periodontitis
1994,doxylamine,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry,sedative
2005,drofenine,Launched,,,neurology/psychiatry,spasms
2007,dromostanolone-propionate,Launched,androgen receptor modulator,AR,oncology,breast cancer
2008,dronedarone,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|KCNA5|KCNH2|KCNK2|SCN1A,cardiology,atrial fibrillation (AF)
2009,droperidol,Launched,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,gastroenterology,nausea|vomiting
2010,dropropizine,Launched,antitussive,,pulmonary,cough suppressant
2011,drospirenone,Launched,mineralocorticoid receptor antagonist,AR|NR3C2|PGR,endocrinology,contraceptive
2012,drotaverine,Launched,phosphodiesterase inhibitor,,obstetrics/gynecology,labor induction
2013,droxicam,Launched,cyclooxygenase inhibitor,PTGS1,rheumatology,rheumatoid arthritis|osteoarthritis
2014,droxidopa,Launched,norepinephrine precursor,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH,cardiology|neurology/psychiatry,hypertension|Parkinson's Disease
2021,duloxetine,Launched,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy
2023,dutasteride,Launched,5 alpha reductase inhibitor,SRD5A1|SRD5A2|SRD5A3,urology,benign prostatic hyperplasia (BPH)
2024,duvelisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,
2027,dyclonine,Launched,sodium channel blocker,SCN10A|SCN5A,neurology/psychiatry,local anesthetic
2028,dydrogesterone,Launched,progesterone receptor agonist,PGR,obstetrics/gynecology,infertility
2031,dyphylline,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,PDE4A,pulmonary,asthma|bronchitis|emphysema
2040,ebastine,Launched,histamine receptor antagonist,CYP3A4|HRH1,allergy,allergic rhinitis|urticaria
2047,ecabet,Launched,gastrin inhibitor|urease inhibitor,NOXO1,ophthalmology,dry eye syndrome
2048,ecamsule-triethanolamine,Launched,,,dermatology,skin protectant|sunscreen lotion
2050,econazole,Launched,lanosterol demethylase inhibitor|sterol demethylase inhibitor,NPY1R|NPY2R|TRPM2|TRPV5,infectious disease,tinea pedis|tinea cruris|tinea corporis|tinea versicolor|cutaneous candidiasis
2051,ectoine,Launched,anti-inflammatory agent,,,
2053,edaravone,Launched,nootropic agent,BCL2,neurology/psychiatry,stroke
2059,edoxaban,Launched,coagulation factor inhibitor,F10,neurology/psychiatry|hematology|cardiology,stroke|pulmonary embolism (PE)|systemic embolism|deep vein thrombosis (DVT)|atrial fibrillation (AF)
2060,edoxudine,Launched,DNA directed DNA polymerase inhibitor,,infectious disease,virus herpes simplex (HSV)
2061,edrophonium,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,myasthenia gravis
2067,efavirenz,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
2068,efinaconazole,Launched,lanosterol demethylase inhibitor,CYP51A1,infectious disease,onychomycosis
2070,eflornithine,Launched,ornithine decarboxylase inhibitor,ARG2|ODC1,dermatology,facial hair reduction
2072,efonidipine,Launched,calcium channel blocker,,cardiology,hypertension
2086,elagolix,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRHR,,
2087,elbasvir,Launched,HCV inhibitor,,infectious disease,hepatitis C
2092,eletriptan,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2B|HTR7,neurology/psychiatry,migraine headache
2093,eliglustat,Launched,glycosyl transferase inhibitor,UGCG,hematology,Gaucher disease
2101,eltrombopag,Launched,thrombopoietin receptor agonist,MPL,hematology|infectious disease,anemia|hepatitis C|thrombocytopenia
2102,eluxadoline,Launched,opioid receptor agonist|opioid receptor antagonist,OPRD1|OPRK1|OPRM1,gastroenterology,irritable bowel syndrome
2103,elvitegravir,Launched,HIV integrase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
2111,emedastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
2118,emorfazone,Launched,anti-inflammatory agent|cyclooxygenase inhibitor,,dental,mouth inflammation
2120,empagliflozin,Launched,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A2,endocrinology,diabetes mellitus
2122,emtricitabine,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
2123,enalapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure|left ventricular systolic dysfunction (LVSD)
2124,enalaprilat,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
2125,enasidenib,Launched,isocitrate dehydrogenase inhibitor,IDH1,hematologic malignancy,acute myeloid leukemia (AML)
2126,enbucrilate,Launched,,,dermatology,skin lacerations|tissue adhesive
2128,encorafenib,Launched,RAF inhibitor,BRAF,oncology,melanoma
2131,enflurane,Launched,membrane permeability inhibitor,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,anesthetic
2132,enilconazole,Launched,sterol demethylase inhibitor,CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2,infectious disease,skin infections
2135,enisamium-iodide,Launched,,,,
2137,enocitabine,Launched,DNA synthesis inhibitor,CMPK1|RRM1|TYMS,hematologic malignancy,acute myeloid leukemia (AML)
2138,enoxacin,Launched,topoisomerase inhibitor,TOP2A,infectious disease,urinary tract infections|gonorrhea
2139,enoximone,Launched,phosphodiesterase inhibitor,PDE3A,cardiology,congestive heart failure
2140,enoxolone,Launched,gap junction modulator,HSD11B1,gastroenterology|otolaryngology,peptic ulcer disease (PUD)|common cold
2142,enrofloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
2143,entacapone,Launched,catechol O methyltransferase inhibitor,COMT,neurology/psychiatry,Parkinson's Disease
2145,entecavir,Launched,DNA replication inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,hepatitis B
2147,entrectinib,Launched,ALK tyrosine kinase receptor inhibitor|proto-oncogene tyrosine protein kinase inhibitor,ALK|NTRK1|NTRK2|NTRK3|ROS1,oncology,non-small cell lung cancer (NSCLC)
2148,enzalutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
2153,epalrestat,Launched,aldose reductase inhibitor,AKR1B1,nephrology,diabetic nephropathy
2155,eperisone,Launched,acetylcholine receptor antagonist,CYP2J2,neurology/psychiatry,amyotrophic lateral sclerosis (ALS)|spasms|head injury|spinal injury
2157,ephedrine,Launched,adrenergic receptor agonist,ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2,cardiology|pulmonary|neurology/psychiatry|endocrinology,hypotension|asthma|narcolepsy|obesity
2158,ephedrine-(racemic),Launched,adrenergic receptor agonist,ADRA1A|ADRA2A|ADRB1|ADRB2|ATF1|ATF2|ATF3|ATF4|ATF5|ATF6|ATF7|FOS|IL2|JDP2|JUN|NFATC1|SLC6A2|SLC6A3|SLC6A4|TNF,cardiology|pulmonary|neurology/psychiatry|endocrinology,hypotension|asthma|narcolepsy|obesity
2164,epinastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
2165,epinephrine,Launched,adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,cardiology|allergy|pulmonary,cardiac arrest|anaphylactic shock|asthma
2166,epirizole,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
2167,epirubicin,Launched,topoisomerase inhibitor,CHD1|TOP2A,oncology,breast cancer
2168,epitiostanol,Launched,androgen receptor agonist,AR,oncology,breast cancer
