pert	cell	pearson
erythromycin	PC3	-0.09868233039843176
levonorgestrel	PC3	-0.09862067033251164
sunitinib	MCF7	-0.09848870145320504
calcipotriol	HT29	-0.098476524678625
betamethasone	HCC515	-0.0983597314380706
altrenogest	MCF7	-0.09831399149087416
probenecid	VCAP	-0.0982546483963158
ruxolitinib	MCF10A	-0.09821686023838236
crizotinib	HCC515	-0.09816131555581262
masitinib	VCAP	-0.09811550546839393
spironolactone	HA1E	-0.09804419695914846
acarbose	PC3	-0.0980151311776788
megestrol	VCAP	-0.0979614904578862
ranolazine	NPC	-0.0979563990523131
clonidine	PC3	-0.09792318254287632
diethylcarbamazine	A549	-0.09783690383179648
chloroquine	PHH	-0.09783424845461358
mometasone	HCC515	-0.09765177141658446
lamotrigine	HA1E	-0.09745732704863286
guanfacine	PC3	-0.09743855004900234
progesterone	HT29	-0.09741571976423484
naltrexone	HCC515	-0.0974070324921943
hydralazine	NEU	-0.09735493691390008
diphenidol	HCC515	-0.09734886137953724
ruxolitinib	VCAP	-0.09730153117894566
sitagliptin	NEU	-0.0972812791558075
chloroquine	PC3	-0.09722036835519518
itopride	MCF7	-0.0970825576076614
mepyramine	A549	-0.09688931396158186
alfacalcidol	PC3	-0.0967785584950541
procyclidine	VCAP	-0.09674070578765911
primaquine	PHH	-0.09672919899071476
mesalazine	PC3	-0.09666460476813887
aniracetam	ASC	-0.09657525464923124
sorafenib	MCF7	-0.0964116553294957
triamterene	ASC	-0.09640962033323604
carbenoxolone	ASC	-0.09640152203397902
scopolamine	HCC515	-0.09639217242557632
alfacalcidol	MCF7	-0.0963782194461292
levonorgestrel	NPC	-0.0961863138335884
nitrendipine	PC3	-0.09615079935323673
azacitidine	MCF7	-0.09602955251566107
edrophonium	VCAP	-0.09597157611401529
zonisamide	A375	-0.0959499173921237
lamotrigine	NEU	-0.09590673876073766
propentofylline	HT29	-0.09586142162352522
toremifene	ASC	-0.09585377867919614
pheniramine	PC3	-0.0956914284479885
itopride	A549	-0.09568972208338716
stiripentol	PC3	-0.0956437681488374
doxylamine	SKB	-0.09560185876548014
diclofenamide	NPC	-0.09553502676250496
decitabine	PC3	-0.0954709454187332
sunitinib	PHH	-0.09533966946340558
dasatinib	MCF7	-0.09524953074697728
xylazine	HA1E	-0.09521391018556052
flunarizine	NPC	-0.09518885549308992
flutamide	VCAP	-0.09515101201916056
sertraline	PC3	-0.095008023991401
fludroxycortide	MCF7	-0.09488055728624828
sulfasalazine	VCAP	-0.0948020066127381
bupropion	VCAP	-0.09475085985675614
flunisolide	A549	-0.09468820041563224
bucladesine	PC3	-0.09462692832785266
nimodipine	ASC	-0.09462054594461956
amiloride	ASC	-0.0945466566792082
desloratadine	MCF7	-0.09436770536558216
alfuzosin	HCC515	-0.09432444648457752
clozapine	HCC515	-0.09427104148377564
dienestrol	VCAP	-0.0940974937563986
sertaconazole	MCF7	-0.09406004416307118
betaxolol	PHH	-0.09392880001126734
fostamatinib	HCC515	-0.09378956951826845
nalbuphine	PC3	-0.09371550781976833
olopatadine	PC3	-0.09369254780244844
