GO_term	median_diff	p_value	statistic	p_adj	auroc
regulation of type I interferon production	NA	NA	NA	NA	NA
regulation of type I interferon-mediated signaling pathway	NA	NA	NA	NA	NA
regulation of type II interferon production	-0.43138341129343344	0.006659279912576403	27	0.21414842245179905	0.14673913043478262
regulation of type II interferon-mediated signaling pathway	NA	NA	NA	NA	NA
regulation of tyrosine phosphorylation of STAT protein	0.3098956308946686	0.7928391407714503	93	0.9037774533793959	0.5054347826086957
regulation of ubiquitin-dependent protein catabolic process	NA	NA	NA	NA	NA
regulation of ubiquitin-protein transferase activity	NA	NA	NA	NA	NA
regulation of vacuole organization	NA	NA	NA	NA	NA
regulation of vascular associated smooth muscle cell migration	NA	NA	NA	NA	NA
regulation of vascular associated smooth muscle cell proliferation	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
regulation of vascular endothelial cell proliferation	0	NA	87	NA	0.47282608695652173
regulation of vascular endothelial growth factor production	0	0.5281246026593942	94.5	0.8540523159096338	0.5135869565217391
regulation of vascular endothelial growth factor receptor signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of vascular permeability	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
regulation of vascular wound healing	NA	NA	NA	NA	NA
regulation of vasoconstriction	NA	NA	NA	NA	NA
regulation of vesicle size	NA	NA	NA	NA	NA
regulation of viral entry into host cell	0	0.19903717060244072	66	0.62571222592143	0.358695652173913
regulation of viral genome replication	NA	NA	NA	NA	NA
regulation of viral life cycle	-0.3575786001287606	0.030808563884940444	42	0.2715825492407569	0.22826086956521738
regulation of viral process	-0.36833152228226146	0.023309738011736178	39	0.2715825492407569	0.21195652173913043
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
regulation of vitamin D biosynthetic process	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of vitamin metabolic process	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of voltage-gated calcium channel activity	NA	NA	NA	NA	NA
regulation of wound healing	0	0.3563599435756904	103	0.8017867405900627	0.5597826086956522
regulation of xenophagy	NA	NA	NA	NA	NA
regulatory T cell differentiation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
release of cytochrome c from mitochondria	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
release of sequestered calcium ion into cytosol	NA	NA	NA	NA	NA
removal of superoxide radicals	NA	NA	NA	NA	NA
renal filtration	NA	NA	NA	NA	NA
renal system process	NA	NA	NA	NA	NA
renal tubule development	NA	NA	NA	NA	NA
replication fork processing	NA	NA	NA	NA	NA
replication fork protection	NA	NA	NA	NA	NA
respiratory burst	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
respiratory burst involved in defense response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
respiratory tube development	NA	NA	NA	NA	NA
response to ATP	NA	NA	NA	NA	NA
response to BMP	NA	NA	NA	NA	NA
response to L-ascorbic acid	NA	NA	NA	NA	NA
response to L-glutamate	NA	NA	NA	NA	NA
response to UV	NA	NA	NA	NA	NA
response to acid chemical	NA	NA	NA	NA	NA
response to activity	0	0.7735747375636892	91.5	0.8893027267469643	0.49728260869565216
response to aldosterone	NA	NA	NA	NA	NA
response to alkaloid	NA	NA	NA	NA	NA
response to amino acid	NA	NA	NA	NA	NA
response to amino acid starvation	NA	NA	NA	NA	NA
response to amyloid-beta	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
response to angiotensin	NA	NA	NA	NA	NA
response to antibiotic	NA	NA	NA	NA	NA
response to arsenic-containing substance	NA	NA	NA	NA	NA
response to axon injury	NA	NA	NA	NA	NA
response to bacterial lipopeptide	NA	NA	NA	NA	NA
response to bacterial lipoprotein	NA	NA	NA	NA	NA
response to cAMP	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to cadmium ion	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
response to calcium ion	NA	NA	NA	NA	NA
response to catecholamine	NA	NA	NA	NA	NA
response to chemokine	NA	NA	NA	NA	NA
response to cisplatin	NA	NA	NA	NA	NA
response to cocaine	NA	NA	NA	NA	NA
response to cold	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to copper ion	NA	NA	NA	NA	NA
response to corticosteroid	0	0.05229831766610785	112	0.3929526033437337	0.6086956521739131
response to corticotropin-releasing hormone	NA	NA	NA	NA	NA
response to dexamethasone	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
response to dsRNA	0	0.5179797133085953	74	0.8540523159096338	0.40217391304347827
response to epidermal growth factor	NA	NA	NA	NA	NA
response to ethanol	NA	NA	NA	NA	NA
response to exogenous dsRNA	0	0.680516234311959	79	0.8822582843048257	0.42934782608695654
response to fatty acid	NA	NA	NA	NA	NA
response to fibroblast growth factor	NA	NA	NA	NA	NA
response to fluid shear stress	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to follicle-stimulating hormone	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to forskolin	NA	NA	NA	NA	NA
response to fructose	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
response to fungus	NA	NA	NA	NA	NA
response to gamma radiation	NA	NA	NA	NA	NA
response to glucocorticoid	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
response to glucose	NA	NA	NA	NA	NA
response to gonadotropin	NA	NA	NA	NA	NA
response to granulocyte macrophage colony-stimulating factor	NA	NA	NA	NA	NA
response to gravity	NA	NA	NA	NA	NA
response to growth hormone	NA	NA	NA	NA	NA
response to heat	NA	NA	NA	NA	NA
response to hexose	NA	NA	NA	NA	NA
response to human chorionic gonadotropin	NA	NA	NA	NA	NA
response to hydrogen peroxide	0.5591212594395254	0.5097161716574641	101.5	0.8540523159096338	0.5516304347826086
response to interferon-alpha	NA	NA	NA	NA	NA
response to interferon-beta	NA	NA	NA	NA	NA
response to interleukin-1	NA	NA	NA	NA	NA
response to interleukin-12	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
response to interleukin-15	0	0.973419190311063	88	1	0.4782608695652174
response to interleukin-17	NA	NA	NA	NA	NA
response to interleukin-18	NA	NA	NA	NA	NA
response to interleukin-2	0	0.2969851954464424	72	0.7891902594572252	0.391304347826087
response to interleukin-3	0	NA	87	NA	0.47282608695652173
response to interleukin-4	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
response to interleukin-6	0	0.24345324950847624	69	0.6953116763374968	0.375
response to interleukin-7	0	0.47091203452702723	95.5	0.8244333899599245	0.5190217391304348
response to ionizing radiation	NA	NA	NA	NA	NA
response to iron ion	NA	NA	NA	NA	NA
response to ischemia	NA	NA	NA	NA	NA
response to lectin	NA	NA	NA	NA	NA
response to leukemia inhibitory factor	NA	NA	NA	NA	NA
response to lipoprotein particle	NA	NA	NA	NA	NA
response to lipoteichoic acid	NA	NA	NA	NA	NA
response to luteinizing hormone	NA	NA	NA	NA	NA
response to macrophage colony-stimulating factor	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
response to mineralocorticoid	NA	NA	NA	NA	NA
response to misfolded protein	NA	NA	NA	NA	NA
response to mitochondrial depolarisation	NA	NA	NA	NA	NA
response to molecule of fungal origin	NA	NA	NA	NA	NA
response to monoamine	NA	NA	NA	NA	NA
response to monosaccharide	NA	NA	NA	NA	NA
response to muramyl dipeptide	NA	NA	NA	NA	NA
response to muscle stretch	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
response to nematode	NA	NA	NA	NA	NA
response to nerve growth factor	NA	NA	NA	NA	NA
response to nicotine	NA	NA	NA	NA	NA
response to nitric oxide	NA	NA	NA	NA	NA
response to nutrient	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to organophosphorus	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
response to osmotic stress	0	0.7735747375636892	91.5	0.8893027267469643	0.49728260869565216
response to oxygen radical	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to peptidoglycan	NA	NA	NA	NA	NA
response to phorbol 13-acetate 12-myristate	NA	NA	NA	NA	NA
response to platelet-derived growth factor	NA	NA	NA	NA	NA
response to progesterone	NA	NA	NA	NA	NA
response to prostaglandin	NA	NA	NA	NA	NA
response to prostaglandin E	NA	NA	NA	NA	NA
response to protozoan	NA	NA	NA	NA	NA
response to purine-containing compound	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
response to reactive oxygen species	0.3885158261417713	0.31090215249176784	108	0.8017867405900627	0.5869565217391305
response to retinoic acid	NA	NA	NA	NA	NA
response to starvation	NA	NA	NA	NA	NA
response to sterol	NA	NA	NA	NA	NA
response to superoxide	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to temperature stimulus	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
response to thyroid hormone	NA	NA	NA	NA	NA
response to topologically incorrect protein	NA	NA	NA	NA	NA
response to tumor cell	NA	NA	NA	NA	NA
response to type I interferon	NA	NA	NA	NA	NA
response to type II interferon	-0.8654021485842167	0.004687675552887398	24	0.21414842245179905	0.13043478260869565
response to type III interferon	NA	NA	NA	NA	NA
response to unfolded protein	NA	NA	NA	NA	NA
response to vitamin	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
response to vitamin D	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
response to yeast	NA	NA	NA	NA	NA
response to zinc ion	NA	NA	NA	NA	NA
retinal cell apoptotic process	NA	NA	NA	NA	NA
retinal cone cell development	NA	NA	NA	NA	NA
retinal cone cell differentiation	NA	NA	NA	NA	NA
retinol metabolic process	NA	NA	NA	NA	NA
retrograde protein transport, ER to cytosol	NA	NA	NA	NA	NA
retrograde transport, endosome to Golgi	NA	NA	NA	NA	NA
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	NA	NA	NA	NA	NA
reversible differentiation	NA	NA	NA	NA	NA
ribonucleoside biosynthetic process	NA	NA	NA	NA	NA
ribonucleoside catabolic process	NA	NA	NA	NA	NA
ribonucleoside diphosphate metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
ribonucleoside metabolic process	NA	NA	NA	NA	NA
ribonucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
ribonucleoside monophosphate metabolic process	NA	NA	NA	NA	NA
ribonucleoside triphosphate biosynthetic process	NA	NA	NA	NA	NA
ribosomal large subunit biogenesis	NA	NA	NA	NA	NA
roof of mouth development	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
ruffle assembly	NA	NA	NA	NA	NA
ruffle organization	NA	NA	NA	NA	NA
sarcomere organization	NA	NA	NA	NA	NA
sarcoplasmic reticulum calcium ion transport	NA	NA	NA	NA	NA
secondary alcohol biosynthetic process	NA	NA	NA	NA	NA
secondary alcohol metabolic process	NA	NA	NA	NA	NA
secondary heart field specification	NA	NA	NA	NA	NA
secretory granule localization	NA	NA	NA	NA	NA
secretory granule organization	NA	NA	NA	NA	NA
selective autophagy	NA	NA	NA	NA	NA
semaphorin-plexin signaling pathway	NA	NA	NA	NA	NA
semaphorin-plexin signaling pathway involved in neuron projection guidance	NA	NA	NA	NA	NA
sensory perception of mechanical stimulus	NA	NA	NA	NA	NA
sensory perception of pain	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
sequestering of calcium ion	NA	NA	NA	NA	NA
sequestering of metal ion	NA	NA	NA	NA	NA
serine phosphorylation of STAT protein	NA	NA	NA	NA	NA
signal release from synapse	NA	NA	NA	NA	NA
signal transduction by p53 class mediator	NA	NA	NA	NA	NA
signal transduction in absence of ligand	0	0.527848364737902	99	0.8540523159096338	0.5380434782608695
signal transduction in response to DNA damage	NA	NA	NA	NA	NA
signal transduction involved in regulation of gene expression	NA	NA	NA	NA	NA
signaling receptor ligand precursor processing	NA	NA	NA	NA	NA
single stranded viral RNA replication via double stranded DNA intermediate	NA	NA	NA	NA	NA
sister chromatid cohesion	NA	NA	NA	NA	NA
skeletal muscle cell differentiation	NA	NA	NA	NA	NA
skeletal muscle cell proliferation	NA	NA	NA	NA	NA
skeletal muscle organ development	NA	NA	NA	NA	NA
skeletal muscle satellite cell proliferation	NA	NA	NA	NA	NA
skeletal muscle tissue development	NA	NA	NA	NA	NA
skin epidermis development	NA	NA	NA	NA	NA
skin morphogenesis	NA	NA	NA	NA	NA
smooth muscle cell apoptotic process	NA	NA	NA	NA	NA
smooth muscle cell migration	1.5578291429399789	0.02832853085565059	122.5	0.2715825492407569	0.6657608695652174
smooth muscle cell proliferation	0	0.1620046309013856	63	0.62571222592143	0.3423913043478261
smooth muscle contraction	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
sodium ion export across plasma membrane	NA	NA	NA	NA	NA
sodium ion homeostasis	NA	NA	NA	NA	NA
sodium ion transmembrane transport	NA	NA	NA	NA	NA
somatic cell DNA recombination	NA	NA	NA	NA	NA
somatic diversification of immune receptors	NA	NA	NA	NA	NA
somatic diversification of immune receptors via germline recombination within a single locus	NA	NA	NA	NA	NA
somatic diversification of immunoglobulins	NA	NA	NA	NA	NA
somatic diversification of immunoglobulins involved in immune response	NA	NA	NA	NA	NA
somatic recombination of immunoglobulin gene segments	NA	NA	NA	NA	NA
somatic recombination of immunoglobulin genes involved in immune response	NA	NA	NA	NA	NA
somatic stem cell population maintenance	NA	NA	NA	NA	NA
sphingolipid catabolic process	NA	NA	NA	NA	NA
sphingolipid mediated signaling pathway	NA	NA	NA	NA	NA
sphingolipid metabolic process	NA	NA	NA	NA	NA
sphingosine-1-phosphate receptor signaling pathway	NA	NA	NA	NA	NA
spindle assembly	NA	NA	NA	NA	NA
spindle assembly checkpoint signaling	NA	NA	NA	NA	NA
spindle assembly involved in female meiosis	NA	NA	NA	NA	NA
spindle checkpoint signaling	NA	NA	NA	NA	NA
spindle elongation	NA	NA	NA	NA	NA
spindle localization	NA	NA	NA	NA	NA
spindle midzone assembly	NA	NA	NA	NA	NA
spindle organization	NA	NA	NA	NA	NA
spleen development	NA	NA	NA	NA	NA
spliceosomal snRNP assembly	NA	NA	NA	NA	NA
sprouting angiogenesis	NA	NA	NA	NA	NA
stem cell development	NA	NA	NA	NA	NA
stem cell proliferation	NA	NA	NA	NA	NA
steroid biosynthetic process	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
sterol biosynthetic process	NA	NA	NA	NA	NA
sterol metabolic process	0	0.07470880531684308	110	0.5246790810182888	0.5978260869565217
stimulatory C-type lectin receptor signaling pathway	NA	NA	NA	NA	NA
strand invasion	NA	NA	NA	NA	NA
stress fiber assembly	NA	NA	NA	NA	NA
stress granule disassembly	NA	NA	NA	NA	NA
striated muscle cell apoptotic process	NA	NA	NA	NA	NA
striated muscle cell development	NA	NA	NA	NA	NA
striated muscle cell proliferation	NA	NA	NA	NA	NA
striated muscle contraction	NA	NA	NA	NA	NA
striated muscle hypertrophy	NA	NA	NA	NA	NA
substrate adhesion-dependent cell spreading	NA	NA	NA	NA	NA
substrate-dependent cell migration	NA	NA	NA	NA	NA
sulfur amino acid transport	NA	NA	NA	NA	NA
superoxide anion generation	NA	NA	NA	NA	NA
superoxide metabolic process	NA	NA	NA	NA	NA
suppression of viral release by host	NA	NA	NA	NA	NA
sympathetic ganglion development	NA	NA	NA	NA	NA
sympathetic nervous system development	NA	NA	NA	NA	NA
synapse pruning	NA	NA	NA	NA	NA
synaptic assembly at neuromuscular junction	NA	NA	NA	NA	NA
synaptic transmission, glutamatergic	NA	NA	NA	NA	NA
synaptic vesicle cycle	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
synaptic vesicle localization	NA	NA	NA	NA	NA
synaptic vesicle lumen acidification	NA	NA	NA	NA	NA
synaptic vesicle maturation	NA	NA	NA	NA	NA
synaptic vesicle recycling	NA	NA	NA	NA	NA
synaptic vesicle transport	NA	NA	NA	NA	NA
synaptic vesicle uncoating	NA	NA	NA	NA	NA
syncytium formation	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
syncytium formation by plasma membrane fusion	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
telomerase RNA localization	NA	NA	NA	NA	NA
telomerase RNA localization to Cajal body	NA	NA	NA	NA	NA
telomere maintenance	NA	NA	NA	NA	NA
telomere maintenance via semi-conservative replication	NA	NA	NA	NA	NA
