GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002678	positive regulation of chronic inflammatory response	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002679	respiratory burst involved in defense response	17	0.002976190476190476	17/16283	0.29411764705882354	2.8506652661064424	2.5894016727968534	0.024969072694789114	0.09792804414318897	0.07093306637454358	DUSP10/HCK/SELENOK/S100A9/NCF1	5	4	0.2673882531119671	1.082436905984626
GO:0002681	somatic recombination of T cell receptor gene segments	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002682	regulation of immune system process	1585	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002683	negative regulation of immune system process	509	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002684	positive regulation of immune system process	1094	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002685	regulation of leukocyte migration	229	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002686	negative regulation of leukocyte migration	51	0.01130952380952381	51/16283	0.37254901960784315	3.6108426704014938	6.333842305548703	3.0953921739898166e-7	8.780124855350367e-6	6.359783702314086e-6	ADA/PADI2/DPP4/DUSP1/GCSAM/STAP1/GREM1/RABGEF1/HMOX1/NBL1/NF1/CCN3/CCL28/PTGER4/CCL2/TNFAIP6/ADTRP/CD69/RIPOR2	19	30	-0.4125137006979577	0.6212447994303166
GO:0002687	positive regulation of leukocyte migration	152	0.030952380952380953	149/16283	0.348993288590604	3.382534356024289	9.909431803915133	5.229126466321056e-16	7.605597558249093e-14	5.5090281965451844e-14	CXCL13/CCR1/CCR7/CSF1/EDN1/PTK2B/FPR2/DAPK2/FUT4/ABL2/ICAM1/IL1A/IL1R1/IL6/CXCL8/CXCL10/ITGA2/ITGB3/LGALS9/MDK/KITLG/MMP14/P2RX4/SERPINE1/IL23A/LGMN/PTAFR/PTPRJ/SELENOK/CCL1/CCL3/CCL4/CCL5/CCL7/CCL8/CCL19/CCL20/CCL24/PERP/SLAMF1/THBS1/TNF/C3AR1/C5AR1/VEGFA/WNT5A/PLA2G7/AKIRIN1/TNFRSF18/TNFSF18/RIPOR2/OXSR1	52	90	-0.5043212499510803	0.5721793774587829
GO:0002688	regulation of leukocyte chemotaxis	123	0.02738095238095238	120/16283	0.38333333333333336	3.715367063492064	10.126180299802725	4.1159608099392395e-16	6.116675673205356e-14	4.430544542323613e-14	CXCL13/PADI2/CCR1/CCR7/CSF1/DPP4/DUSP1/EDN1/PTK2B/FPR2/DAPK2/STAP1/GREM1/IL6/CXCL8/CXCL10/LGALS9/LYN/MDK/NBL1/NINJ1/CCN3/SERPINE1/IL23A/LGMN/PTPRJ/CCL1/CCL2/CCL3/CCL4/CCL5/CCL7/CCL19/PERP/NOD2/SLAMF1/THBS1/TNFAIP6/C3AR1/C5AR1/VEGFA/WNT5A/PLA2G7/AKIRIN1/RIPOR2/OXSR1	46	86	-0.5814611979666553	0.5334219456539706
GO:0002689	negative regulation of leukocyte chemotaxis	20	0.005357142857142857	20/16283	0.45	4.361517857142857	5.1019660335770585	7.555834358913399e-5	0.0010063155941903094	7.2891326954378e-4	PADI2/DPP4/DUSP1/STAP1/GREM1/NBL1/CCN3/CCL2/TNFAIP6	9	13	-0.32348007832756004	0.6719146233186656
