gene1,gene2,weight
MLH1,MSH2,0.9993120000000001
MLH1,MSH6,0.986915
MLH1,CAD,0.168545
MLH1,PMS2,0.9990879999999999
MLH1,ATP5A1,0.2
MLH1,HDAC6,0.24027199999999999
MLH1,UBC,0.597
MLH1,FMO1,0.192
MLH1,HDAC1,0.23862399999999998
MLH1,PCNA,0.909546
EIF2AK2,CDKN1A,0.564
EIF2AK2,TRAF2,0.576
EIF2AK2,EIF2S1,0.992
EIF2AK2,PDGFRB,0.576
EIF2AK2,STAT3,0.606104
EIF2AK2,TP53,0.808
EIF2AK2,EGFR,0.275
EIF2AK2,DDB1,0.380176
EIF2AK2,CDC42,0.567
EIF2AK2,HSP90AA1,0.651
EIF2AK2,UBC,0.795
EIF2AK2,RAC1,0.567
EIF2AK2,EIF3A,0.612514
EIF2AK2,MAP3K7,0.999072
EIF2AK2,NOP2,0.461
MSH2,ESR1,0.778
MSH2,SIRT1,0.228832
MSH2,MLH1,0.9993120000000001
MSH2,MSH6,0.999295
MSH2,CPSF3,0.20278
MSH2,NEDD8,0.34
MSH2,PRDX1,0.215
MSH2,PIK3CA,0.16485999999999998
MSH2,STAT3,0.417
MSH2,PMS2,0.995715
MSH2,CDK2,0.42716800000000005
MSH2,TP53,0.809
MSH2,CBX4,0.384
MSH2,SKP2,0.185
MSH2,EIF4A1,0.169
MSH2,CPSF2,0.20106
MSH2,HSP90B1,0.235873
MSH2,DDB1,0.311
MSH2,SRSF7,0.644
MSH2,SIRT7,0.344
MSH2,HDAC6,0.721663
MSH2,HSP90AA1,0.604528
MSH2,INSIG1,0.439
MSH2,UBC,0.973
MSH2,ERCC6,0.219
MSH2,SMARCA4,0.16393
MSH2,MTOR,0.16485999999999998
MSH2,DPYD,0.284
MSH2,CDC5L,0.285923
MSH2,HDAC1,0.254345
MSH2,PCNA,0.9977440000000001
MSH2,CHEK1,0.606952
TFPI,CELA3A,0.992
TFPI,SRSF7,0.894
TFPI,SF3B1,0.644
TFPI,BCAS2,0.644
APOB,HSPA8,0.566
APOB,LTF,0.337988
APOB,APOA1,0.836275
APOB,CANX,0.812
APOB,EGFR,0.309
APOB,LIPC,0.6048319999999999
APOB,HSP90B1,0.804
APOB,CALR,0.808
APOB,HSP90AA1,0.576
APOB,UBC,0.979
APOB,SERPINC1,0.165
MSH6,ESR1,0.512
MSH6,MLH1,0.986915
MSH6,MSH2,0.999295
MSH6,NEDD8,0.38818
MSH6,PIK3CA,0.16485999999999998
MSH6,PMS2,0.9696790000000001
MSH6,CDK2,0.244312
MSH6,TP53,0.57
MSH6,ATP5A1,0.22
MSH6,PDF,0.193004
MSH6,CPSF2,0.19934000000000002
MSH6,HSP90B1,0.175545
MSH6,CHAF1A,0.6230640000000001
MSH6,SIRT7,0.344
MSH6,HDAC6,0.254345
MSH6,HSP90AA1,0.19455
MSH6,INSIG1,0.27
MSH6,UBC,0.985
MSH6,CHD4,0.200828
MSH6,MTOR,0.16485999999999998
MSH6,DPYD,0.284
MSH6,CDC5L,0.296661
